uuid,avaliacaoRef,idBaseRef,fazendaRef,dtcResponsavelRef,cod_fazenda,nomeFazenda,cidade_nome,estado_sigla,regiao_macro,regiao_micro,safra,epoca,dataPlantioSoja,dataColheitaSoja,latitude,longitude,altitude,nomeResponsavel,nome,dePara,status_material,tipoTeste,indexTratamento,populacao,gm,notaUniformidade,notaDensidade,notaVigor,notaDaninhas,notaPragas,notaDoencas,notaHomogenidade,notaSolo,notaQualidadeInicial,notaMedia
013ef052-9a67-42cf-a51c-42621bccb3ca,efcd5eb6-036d-4ced-99f6-09e4f276b4a1,2ec933ab-7005-4952-a1f7-20fa46573868,c6036815-7d7e-49a4-848c-4d7d8103ffb1,586073f9-041b-4931-9e42-b44975c8b383,M4-401-C-24,Mariana,Campo Verde,MT,MACRO IV,REC 401,2024/25,Safra,2024-10-25,2025-02-21,-15.3624,-55.1638,630,Tamila Ribeiro,TORMENTA CE,BMX TORMENTA CE,CHECK,Faixa,17,300,76,5,0,5,5,4,4,5,5,,4.12
017befa3-06a8-4ed3-a439-dbbe7843e541,7919770d-db41-453a-ac81-c2c1ae948393,1cb56a2b-039a-4d74-96f1-6bb2d322b9d1,6e37f26a-6e29-450b-b77e-0d471ba4a684,b3c863ab-5a70-433e-8f85-d3b2b695e14b,M2-204-C-24,Recanto,Sidrolândia,MS,MACRO II,REC 204,2024/25,Safra,2024-10-25,2025-02-27,-21.06344,-55.03496,485,Luiz Neves,NC25-56656-5,NC25-56656-5,LINHAGEM,Faixa,24,300,76,5,5,5,5,5,5,5,5,,5.0
017f4e39-4e83-4ca1-a3e8-39a527dc3e9f,3b0fc475-495f-4a79-af43-2c1e3f7ac4ff,7eed8d70-d979-48aa-9b8f-e1c0c667dd46,65b84748-8a2c-4056-9ae7-d98022f8beb1,12351e76-eed4-41fb-bf16-99fb41d513a8,M3-301-C-24,Invernadinha Lugar Indaiá,Mineiros,GO,MACRO III,REC 301,2024/25,Safra,2024-10-22,2025-02-17,-17.121477,-51.170811,900,Lucas Pereira,NC25-62377-7,NC25-62377-7,LINHAGEM,Faixa,36,300,80,5,5,5,3,4,5,5,5,,4.62
0182e9db-1290-409c-a78c-fd945009935e,79c65f9d-74c8-477c-9214-44eb11840a18,012e44cb-52d9-4982-945f-b2b5658da73e,7001996a-2024-4068-bad3-bb65e80b77d3,7e3a92bf-2ddd-4c2a-a9a1-7ee7b42924db,M3-303-C-24,Nossa Senhora Aparecida,Araguari,MG,MACRO III,REC 303,2024/25,Safra,2024-10-23,2025-03-01,-18.7335,-47.98095,950,Fúlvio Gibello,NC25-41893-3,NC25-41893-3,LINHAGEM,Faixa,16,300,73,4,5,4,5,4,4,4,5,,4.38
01882cc6-92fe-4552-ab21-838a958c0d50,8ca524ce-865e-4ce8-8627-aab9ceeb17df,c9bf6851-830d-442b-8ca4-dfbfceb6b3a8,1855d4a7-024c-42c0-b0fa-f0a70ced866f,b3c863ab-5a70-433e-8f85-d3b2b695e14b,M3-301-E-24,Três Pinheiros,São Gabriel do Oeste,MS,MACRO III,REC 301,2024/25,Safra,2024-10-30,2025-03-12,-19.3191,-54.64512,660,Luiz Neves,NEO 710 IPRO,NEO 710 IPRO,CHECK,Faixa,13,300,71,5,4,4,5,4,5,5,5,,4.62
018c95cf-34a9-4479-9058-f920e94b1f64,b4e533cc-601f-4f98-801c-080274d68014,a58ec8f4-685c-404e-ae02-2b2b746efa3f,b7a51078-c01a-43ff-8374-612f3d87e686,586073f9-041b-4931-9e42-b44975c8b383,M4-401-E-24,Piratini,Primavera do Leste,MT,MACRO IV,REC 401,2024/25,Safra,2024-10-26,2025-02-22,-15.5343,-54.6106,630,Tamila Ribeiro,DM 73I75 IPRO,DM 73I75 RSF IPRO,CHECK,Faixa,10,300,73,5,3,5,5,5,4,4,5,,4.5
018fa12d-22a6-4dca-bb56-5f7642812dac,0caf4049-3058-4e59-bac2-a126a61f9c38,8e58aaff-8b56-464e-93bc-6e6845fe46a2,1794571f-ac33-4857-a2a7-d7af26e558de,d33a313f-61f2-4e0b-b04c-ad12b9ec7534,M5-501-B-24,Fazenda Chapadão da Serra,Balsas,MA,MACRO V,REC 501,2024/25,Safra,2024-11-16,2025-03-13,-7.768598,-45.627585,449,Guilherme Leal,79KA72,79KA72 CE,STINE,Faixa,14,300,79,4,4,4,4,5,5,4,4,,4.25
01b66271-a8cf-4ce0-8ca3-00888bb14063,2d7d1ce4-f264-4a19-a95c-de5fb313a2b8,77e88293-df4a-4596-a60d-5b3fdb094a17,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-16,2025-02-09,-12.385359,-55.593431,380,Luiz Penna,NC25-96785-6,NC25-96785-6,LINHAGEM,Faixa,5,300,70,4,4,4,5,5,5,4,5,,4.5
01d6b63f-5598-45fb-a3c5-524096f53cf6,876a72a3-1c54-4625-90b9-4c2e95eaad80,886447bf-b9a1-4f1d-8de1-89f6cbeb2809,c3138c6d-17bc-4363-ba33-07b620421254,12351e76-eed4-41fb-bf16-99fb41d513a8,M3-302-A-24,Corrego do cédro_SHG,Santa Helena de Goiás,GO,MACRO III,REC 302,2024/25,Safra,2024-10-31,2025-02-25,-17.847696,-50.720696,500,Lucas Pereira,NC25-2384-7,NC25-2384-7,LINHAGEM,Faixa,24,300,77,5,4,5,3,5,5,5,5,,4.62
01fc7ad4-6d27-4b45-9281-9f2c4c14f9b6,ce8fc416-1fde-4413-8a9c-5be8a14be5b0,9ba77475-5de5-409b-8f1e-e039e138a269,cb98811e-0700-4187-83f9-09f6e3219375,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-K-24,fazenda Bom Jesus,Ipiranga do Norte,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-13,2025-02-06,-11.832869,-56.129577,380,Luiz Penna,NC25-44371-1,NC25-44371-1,LINHAGEM,Faixa,23,300,79,4,4,4,5,5,5,4,5,,4.5
027effdc-c822-4802-8eb7-114e537985eb,ad5fa440-65d6-4ac1-ae3b-152920a5cee4,25571847-7d58-4998-a107-1b4343ac0b99,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-09,2025-02-13,-14.0275,-59.190277,660,Milena Goulart,79KA72,79KA72 CE,STINE,Faixa,30,300,79,3,4,4,5,5,5,3,4,,4.12
