uuid,avaliacaoRef,idBaseRef,fazendaRef,dtcResponsavelRef,cod_fazenda,nomeFazenda,cidade_nome,estado_sigla,regiao_macro,regiao_micro,safra,epoca,dataPlantioSoja,dataColheitaSoja,latitude,longitude,altitude,nomeResponsavel,nome,dePara,status_material,tipoTeste,indexTratamento,populacao,gm,notaUniformidade,notaDensidade,notaVigor,notaDaninhas,notaPragas,notaDoencas,notaHomogenidade,notaSolo,notaQualidadeInicial,notaMedia
0abbcad1-7a20-4abf-a1a1-703f17a888b1,79c65f9d-74c8-477c-9214-44eb11840a18,19cec835-32ae-4e15-8257-fd25d40f827e,7001996a-2024-4068-bad3-bb65e80b77d3,7e3a92bf-2ddd-4c2a-a9a1-7ee7b42924db,M3-303-C-24,Nossa Senhora Aparecida,Araguari,MG,MACRO III,REC 303,2024/25,Safra,10/23/2024,3/1/2025,-18.7335,-47.98095,950,Fúlvio Gibello,79KA72,79KA72 CE,STINE,Densidade,306,350,79,4,5,5,5,4,5,5,5,,4.75
0b6f50a9-e728-4c2e-8e32-57c78cf57570,cc6b2b51-99c4-4a76-b463-344e173b917b,d0ffcb83-80d5-45b2-b60d-91c6a6019af5,d1989909-ceae-43f1-a8f5-bbd408ab2e20,d33a313f-61f2-4e0b-b04c-ad12b9ec7534,M5-501-A-24,Fazenda Cajueiro,Balsas,MA,MACRO V,REC 501,2024/25,Safra,11/15/2024,3/14/2025,-7.221256,-45.968977,350,Guilherme Leal,79KA72,79KA72 CE,STINE,Densidade,306,300,79,0,0,0,0,0,0,0,0,,0
0bd205fa-ac11-45fe-aa67-7d1c8b6aa371,4c5ef501-99ed-47f3-9486-7aa8065fa782,1f370617-efa5-4728-83b0-0f7662d60e9b,cd9e910b-c53e-49f3-991a-2ab0c0f82e74,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-D-24,Fazenda Flora,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/23/2024,2/20/2025,-12.5611,-55.4622,412,Lara Martins,78KA42,78KA42 CE,STINE,Densidade,205,300,78,5,5,5,5,4,4,4,3,,4.38
0bf16acd-d6cc-4234-a578-d7c03b39d844,44711239-5467-4a95-b074-5115f52c24fb,137f6c25-5155-4cdc-96cb-22022526379f,9ac6429e-ec51-4764-a767-7c89528ba0d6,586073f9-041b-4931-9e42-b44975c8b383,M4-401-F-24,Ponte de Pedra,Itiquira,MT,MACRO IV,REC 401,2024/25,Safra,10/28/2024,2/25/2025,-17.1054,-54.7112,485,Tamila Ribeiro,76KA72,76KA72 CE,STINE,Densidade,203,400,76,5,3,5,5,5,4,4,4,,4.38
0bfa82cc-2020-4856-851d-d126518c95be,3e5d75c9-5c3e-4013-acc5-38883d676d7b,bb6d9dc9-4276-44c3-b651-f325091bf822,4db9f327-5421-4971-84bb-8ce6ed788db4,cea7f5ab-9542-41b4-a62e-fe6496faace9,M4-402-A-24,Fazenda Aquidauana,Campo Novo do Parecis,MT,MACRO IV,REC 402,2024/25,Safra,10/15/2024,2/16/2025,-14.163552,-58.053603,437,Josélia Portilho,70KA30,70KA30 CE,STINE,Densidade,101,350,70,3,3,2,4,4,4,4,5,,3.62
0bfb43b5-7c07-448a-8e8d-61e62c1f096b,ad5fa440-65d6-4ac1-ae3b-152920a5cee4,e38bc48e-d9b1-40e7-9283-1adf2034b0fc,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,10/9/2024,2/13/2025,-14.0275,-59.190277,660,Milena Goulart,84KA92,84KA92 CE,DP2,Densidade,108,300,84,4,3,4,3,3,4,4,4,,3.62
0c26d80d-8978-4e50-975c-339144f513de,b501bce8-9c22-4b2e-89b5-ca123e07482c,dea61aaa-b2ec-43ab-b199-c0c3f8cd674e,9e09bbd0-f32d-45e9-b38a-8f5f8b90283f,df4e05ad-5053-463d-a3c3-463d00849eb9,M3-304-A-24,AgroROSSO 1,São Miguel do Passa Quatro,GO,MACRO III,REC 304,2024/25,Safra,11/8/2024,3/6/2025,-16.836499,-48.446628,1010,Rafael Ribeiro,70KA30,70KA30 CE,STINE,Densidade,201,200,70,4,4,4,3,5,5,4,5,,4.25
0c4f070d-cbc2-4dba-9bc0-3e4618a373ff,cc6b2b51-99c4-4a76-b463-344e173b917b,43cc067f-ce55-4493-8dff-8f278d24ead1,d1989909-ceae-43f1-a8f5-bbd408ab2e20,d33a313f-61f2-4e0b-b04c-ad12b9ec7534,M5-501-A-24,Fazenda Cajueiro,Balsas,MA,MACRO V,REC 501,2024/25,Safra,11/15/2024,3/14/2025,-7.221256,-45.968977,350,Guilherme Leal,78KA42,78KA42 CE,STINE,Densidade,305,250,78,0,0,0,0,0,0,0,0,,0
0c6a83c7-3ffd-483e-9665-992c1520ec7b,ad5fa440-65d6-4ac1-ae3b-152920a5cee4,d6af2d0a-3901-4f8d-8d43-aa2963c541a8,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,10/9/2024,2/13/2025,-14.0275,-59.190277,660,Milena Goulart,80KA72,80KA72 CE,STINE,Densidade,307,350,80,3,4,4,3,4,4,4,4,,3.75
0cbd1e39-9388-4a1a-b63b-5d817bf41c27,8ca524ce-865e-4ce8-8627-aab9ceeb17df,7eb7d78b-3efa-45c5-815d-7d236a90d788,1855d4a7-024c-42c0-b0fa-f0a70ced866f,b3c863ab-5a70-433e-8f85-d3b2b695e14b,M3-301-E-24,Três Pinheiros,São Gabriel do Oeste,MS,MACRO III,REC 301,2024/25,Safra,10/30/2024,3/12/2025,-19.3191,-54.64512,660,Luiz Neves,76KA72,76KA72 CE,STINE,Densidade,103,250,76,4,4,5,5,4,5,4,5,,4.5
